Серия МСК № 000001,FORD,Другой цвет,Истек срок действия,11.09.2015,Открытое акционерное общество "14 Таксомоторный парк",,7703062780,01.09.2011,00001,FOCUS,ОАО "14 ТМП",1027739272175,,,1,Т961ВН197,Москва,01.01.2010,77УЕ№060245 ,с 01.09.2011 до 31.08.2016,2010,0,0
Серия МСК № 000002,FORD,Другой цвет,Истек срок действия,10.09.2015,Открытое акционерное общество "14 Таксомоторный парк",,7703062780,01.09.2011,00002,FOCUS,ОАО "14 ТМП",1027739272175,,,1,Т958ВН197,Москва,01.01.2010,77УЕ№060242 ,с 01.09.2011 до 31.08.2016,2010,0,0
Серия МСК № 000003,FORD,н/д,Истек срок действия,19.11.2015,Открытое акционерное общество "14 таксомоторный парк,,7703062780,01.09.2011,00003,FOCUS,ОАО "14 ТМП",1027739272175,,,1,Т963ВН197,Москва,,77УЕ060247,с 01.09.2011 до 31.08.2016,2011,0,0
Серия МСК № 000004,FORD,н/д,Истек срок действия,19.11.2015,Открытое акционерное общество "14 таксомоторный парк,,7703062780,01.09.2011,00004,FOCUS,ОАО "14 ТМП",1027739272175,,,1,Т964ВН197,Москва,,77УЕ060248,с 01.09.2011 до 31.08.2016,2010,0,0
Серия МСК № 000005,FORD,н/д,Истек срок действия,19.11.2015,Открытое акционерное общество "14 таксомоторный парк,,7703062780,01.09.2011,00005,FOCUS,ОАО "14 ТМП",1027739272175,,,1,Т960ВН197,Москва,,77УЕ060244,с 01.09.2011 до 31.08.2016,2010,0,0
Серия МСК № 000006,FORD,н/д,Истек срок действия,19.11.2015,Открытое акционерное общество "14 таксомоторный парк,,7703062780,01.09.2011,00006,FOCUS,ОАО "14 ТМП",1027739272175,,,1,Т959ВН197,Москва,,77УЕ060243,с 01.09.2011 до 31.08.2016,2010,0,0
Серия МСК № 000007,FORD,н/д,Истек срок действия,19.11.2015,Открытое акционерное общество "14 таксомоторный парк,,7703062780,01.09.2011,00007,FOCUS,ОАО "14 ТМП",1027739272175,,,1,Т962ВН197,Москва,,77УЕ060246,с 01.09.2011 до 31.08.2016,2010,0,0
Серия МСК № 000008,FORD,н/д,Истек срок действия,19.11.2015,Открытое акционерное общество "14 таксомоторный парк,,7703062780,01.09.2011,00008,FOCUS,ОАО "14 ТМП",1027739272175,,,1,Т965ВН197,Москва,,77УЕ060249,с 01.09.2011 до 31.08.2016,2010,0,0
Серия МСК № 000009,FORD,н/д,Истек срок действия,19.11.2015,Открытое акционерное общество "14 таксомоторный парк,,7703062780,01.09.2011,00009,FOCUS,ОАО "14 ТМП",1027739272175,,,1,Т957ВН197,Москва,,77УЕ060241,с 01.09.2011 до 31.08.2016,2010,0,0
Серия МСК № 010318,PEUGEOT,н/д,Истек срок действия,15.01.2016,Фахретдинов Рашит Авзалетдинович,,772000461834,01.09.2011,00010,PARTNER,Фархетдинов Рашит Авзалетдинович,311774619400121,,,1,Т142РН197,Москва,22.11.2011,77УС942795 от,с 01.09.2011 до 31.08.2016,2011,0,0
Серия МСК № 053021,TOYOTA,Черный,Истек срок действия,09.10.2014,Орлов Юрий Сергеевич,,772901448596,01.09.2011,00011,COROLLA,Орлов Юрий Сергеевич,304770000598354,,,1,МВ84177,Москва,20.09.2014,7729№155593 ,с 01.09.2011 до 31.08.2016,2008,0,1
